Audiofilename,Starttime,Endtime
n1.wav,164.5,165.0
n1.wav,168.0,168.5
n1.wav,169.5,170.0
n1.wav,1327.0,1327.5
n1.wav,1439.5,1443.0
n1.wav,1784.0,1785.0
n1.wav,1831.0,1831.5
n1.wav,1899.5,1900.0
n1.wav,1930.5,1931.0
n1.wav,2067.5,2068.0
n1.wav,2069.0,2069.5
n1.wav,2082.5,2083.0
n1.wav,2098.5,2099.0
n1.wav,2099.5,2100.0
n1.wav,2100.5,2102.0
n1.wav,2102.5,2105.0
n1.wav,2106.0,2107.0
n1.wav,2108.5,2110.0
n1.wav,2110.5,2112.0
n1.wav,2112.5,2114.0
n1.wav,2115.5,2117.5
n1.wav,2119.0,2120.5
n1.wav,2122.5,2124.0
n1.wav,2125.5,2127.0
n1.wav,2128.5,2130.0
n1.wav,2131.5,2133.0
n1.wav,2134.0,2135.5
n1.wav,2136.5,2138.0
n1.wav,2138.5,2140.5
n1.wav,2141.5,2143.5
n1.wav,2144.5,2146.0
n1.wav,2148.0,2149.0
n1.wav,2150.0,2150.5
n1.wav,2151.0,2152.5
n1.wav,2153.5,2154.5
n1.wav,2157.0,2157.5
n1.wav,2164.5,2165.5
n1.wav,2166.0,2166.5
n1.wav,2167.0,2169.5
n1.wav,2170.5,2172.5
n1.wav,2182.5,2183.0
n1.wav,2184.5,2185.0
n1.wav,2186.0,2186.5
n1.wav,2187.5,2188.5
n1.wav,2190.0,2191.5
n1.wav,2192.5,2198.5
n1.wav,2199.5,2201.0
n1.wav,2201.5,2203.5
n1.wav,2204.0,2208.5
n1.wav,2209.0,2213.0
n1.wav,2213.5,2214.0
n1.wav,2214.5,2215.0
n1.wav,2215.5,2217.5
n1.wav,2218.5,2220.5
n1.wav,2221.5,2222.5
n1.wav,2224.0,2225.5
n1.wav,2226.0,2227.0
n1.wav,2227.5,2232.0
n1.wav,2232.5,2239.5
n1.wav,2240.0,2242.5
n1.wav,2243.0,2244.5
n1.wav,2249.5,2250.0
n1.wav,2251.0,2251.5
n1.wav,2252.0,2255.5
n1.wav,2256.0,2257.5
n1.wav,2258.0,2260.5
n1.wav,2261.0,2264.0
n1.wav,2264.5,2265.5
n1.wav,2266.5,2267.0
n1.wav,2268.0,2269.5
n1.wav,2270.0,2274.0
n1.wav,2274.5,2275.5
n1.wav,2278.0,2279.0
n1.wav,2279.5,2282.5
n1.wav,2284.0,2285.0
n1.wav,2287.0,2289.0
n1.wav,2290.0,2290.5
n1.wav,2291.0,2292.0
n1.wav,2292.5,2294.5
n1.wav,2295.0,2296.5
n1.wav,2297.0,2310.0
n1.wav,2310.5,2317.5
n1.wav,2318.0,2319.0
n1.wav,2319.5,2323.5
n1.wav,2324.0,2326.5
n1.wav,2327.5,2330.0
n1.wav,2330.5,2336.5
n1.wav,2337.0,2351.0
n1.wav,2352.0,2355.5
n1.wav,2356.5,2357.5
n1.wav,2359.5,2362.0
n1.wav,2364.0,2366.0
n1.wav,2366.5,2373.0
n1.wav,2374.0,2379.5
n1.wav,2381.0,2383.5
n1.wav,2384.5,2385.0
n1.wav,2386.0,2387.5
n1.wav,2388.0,2393.0
n1.wav,2393.5,2394.0
n1.wav,2394.5,2400.0
n1.wav,2400.5,2402.0
n1.wav,2402.5,2406.5
n1.wav,2407.5,2409.5
n1.wav,2410.0,2411.0
n1.wav,2412.0,2413.0
n1.wav,2414.0,2414.5
n1.wav,2416.5,2417.0
n1.wav,2417.5,2420.0
n1.wav,2420.5,2421.5
n1.wav,2422.5,2425.5
n1.wav,2426.0,2431.0
n1.wav,2431.5,2432.0
n1.wav,2432.5,2436.0
n1.wav,2436.5,2441.5
n1.wav,2442.0,2444.0
n1.wav,2445.5,2446.0
n1.wav,2446.5,2447.0
n1.wav,2447.5,2448.0
n1.wav,2449.0,2451.5
n1.wav,2452.0,2455.5
n1.wav,2456.0,2466.0
n1.wav,2467.0,2469.5
n1.wav,2470.5,2471.0
n1.wav,2471.5,2472.5
n1.wav,2474.5,2475.0
n1.wav,2476.0,2476.5
n1.wav,2477.5,2479.0
n1.wav,2480.0,2480.5
n1.wav,2484.5,2491.0
n1.wav,2491.5,2492.0
n1.wav,2492.5,2493.5
n1.wav,2496.5,2497.0
n1.wav,2499.5,2500.0
n1.wav,2501.0,2503.5
n1.wav,2504.0,2504.5
n1.wav,2505.0,2505.5
n1.wav,2508.0,2508.5
n1.wav,2510.0,2510.5
n1.wav,2511.5,2514.0
n1.wav,2514.5,2515.0
n1.wav,2516.0,2517.0
n1.wav,2517.5,2519.0
n1.wav,2521.0,2522.0
n1.wav,2523.5,2524.5
n1.wav,2525.0,2526.5
n1.wav,2527.5,2531.5
n1.wav,2532.5,2533.5
n1.wav,2534.0,2536.0
n1.wav,2537.0,2537.5
n1.wav,2541.0,2544.5
n1.wav,2545.0,2546.5
n1.wav,2547.0,2547.5
n1.wav,2548.0,2549.0
n1.wav,2549.5,2551.0
n1.wav,2551.5,2555.5
n1.wav,2556.5,2557.0
n1.wav,2557.5,2559.0
n1.wav,2559.5,2560.5
n1.wav,2561.5,2562.5
n1.wav,2563.5,2564.5
n1.wav,2566.5,2568.0
n1.wav,2569.0,2569.5
n1.wav,2571.0,2572.0
n1.wav,2573.0,2574.5
n1.wav,2575.5,2576.0
n1.wav,2576.5,2577.0
n1.wav,2578.0,2582.0
n1.wav,2582.5,2585.5
n1.wav,2586.0,2586.5
n1.wav,2587.0,2590.0
n1.wav,2590.5,2592.5
n1.wav,2593.0,2593.5
n1.wav,2594.0,2595.5
n1.wav,2596.0,2599.0
n1.wav,2600.0,2602.0
n1.wav,2602.5,2603.5
n1.wav,2604.0,2610.5
n1.wav,2611.0,2612.5
n1.wav,2613.0,2615.5
n1.wav,2616.0,2617.5
n1.wav,2618.0,2624.5
n1.wav,2625.0,2633.0
n1.wav,2633.5,2634.0
n1.wav,2634.5,2635.0
n1.wav,2635.5,2648.0
n1.wav,2648.5,2652.5
n1.wav,2653.0,2662.0
n1.wav,2663.0,2665.0
n1.wav,2666.0,2666.5
n1.wav,2667.0,2668.5
n1.wav,2669.5,2670.5
n1.wav,2671.0,2673.0
n1.wav,2673.5,2678.0
n1.wav,2678.5,2679.0
n1.wav,2679.5,2682.0
n1.wav,2682.5,2689.5
n1.wav,2691.0,2693.5
n1.wav,2694.0,2694.5
n1.wav,2697.0,2699.0
n1.wav,2699.5,2700.0
n1.wav,2700.5,2702.0
n1.wav,2703.0,2703.5
n1.wav,2704.0,2706.0
n1.wav,2706.5,2708.0
n1.wav,2708.5,2711.5
n1.wav,2712.0,2717.0
n1.wav,2718.0,2720.0
n1.wav,2721.5,2722.5
n1.wav,2724.0,2726.0
n1.wav,2727.0,2730.5
n1.wav,2731.0,2732.0
n1.wav,2732.5,2733.5
n1.wav,2734.0,2736.0
n1.wav,2737.0,2741.0
n1.wav,2741.5,2742.5
n1.wav,2743.0,2743.5
n1.wav,2744.5,2760.5
n1.wav,2761.0,2762.5
n1.wav,2763.0,2767.5
n1.wav,2768.5,2771.5
n1.wav,2772.0,2779.0
n1.wav,2779.5,2782.5
n1.wav,2785.5,2786.5
n1.wav,2787.0,2787.5
n1.wav,2788.0,2789.0
n1.wav,2789.5,2799.5
n1.wav,2800.5,2802.5
n1.wav,2803.0,2807.5
n1.wav,2808.0,2812.0
n1.wav,2812.5,2814.5
n1.wav,2815.5,2817.5
n1.wav,2818.0,2818.5
n1.wav,2819.0,2819.5
n1.wav,2820.5,2821.0
n1.wav,2824.0,2825.0
n1.wav,2825.5,2826.0
n1.wav,2827.0,2828.5
n1.wav,2829.5,2831.0
n1.wav,2831.5,2832.0
n1.wav,2832.5,2834.0
n1.wav,2835.0,2836.0
n1.wav,2836.5,2837.0
n1.wav,2838.0,2838.5
n1.wav,2839.0,2839.5
n1.wav,2840.0,2840.5
n1.wav,2841.5,2842.0
n1.wav,2842.5,2843.0
n1.wav,2843.5,2844.0
n1.wav,2848.5,2849.0
n1.wav,2850.0,2850.5
n1.wav,2854.0,2854.5
n1.wav,2856.5,2857.5
n1.wav,2858.5,2861.5
n1.wav,2862.0,2864.0
n1.wav,2865.0,2865.5
n1.wav,2866.0,2867.5
n1.wav,2869.0,2870.5
n1.wav,2871.0,2872.5
n1.wav,2873.5,2874.5
n1.wav,2876.0,2876.5
n1.wav,2878.5,2881.0
n1.wav,2881.5,2883.5
n1.wav,2884.5,2885.0
n1.wav,2886.5,2890.0
n1.wav,2891.0,2892.0
n1.wav,2892.5,2900.0
n1.wav,2904.5,2905.5
n1.wav,2907.5,2908.5
n1.wav,2909.5,2910.5
n1.wav,2912.0,2914.0
n1.wav,2914.5,2916.5
n1.wav,2917.0,2917.5
n1.wav,2918.5,2919.5
n1.wav,2921.0,2921.5
n1.wav,2922.0,2922.5
n1.wav,2923.5,2926.0
n1.wav,2926.5,2928.0
n1.wav,2928.5,2930.0
n1.wav,2930.5,2931.0
n1.wav,2935.5,2936.0
n1.wav,2936.5,2937.0
n1.wav,2940.0,2940.5
n1.wav,2946.0,2946.5
n1.wav,2947.5,2948.5
n1.wav,2949.0,2949.5
n1.wav,2951.5,2953.0
n1.wav,2956.5,2959.5
n1.wav,2962.0,2963.0
n1.wav,2965.0,2966.5
n1.wav,2967.0,2967.5
n1.wav,2968.5,2969.0
n1.wav,2971.5,2973.0
n1.wav,2974.0,2976.0
n1.wav,2976.5,2978.5
n1.wav,2979.0,2980.0
n1.wav,2982.0,2983.0
n1.wav,2984.5,2985.0
n1.wav,2985.5,2986.0
n1.wav,2986.5,2989.5
n1.wav,2990.0,2990.5
n1.wav,2991.5,2992.0
n1.wav,2993.0,2994.0
n1.wav,2994.5,2995.0
n1.wav,2995.5,2996.0
n1.wav,2997.5,2998.5
n1.wav,2999.0,3002.0
n1.wav,3002.5,3005.0
n1.wav,3008.5,3010.5
n1.wav,3011.5,3013.5
n1.wav,3014.0,3014.5
n1.wav,3016.0,3017.0
n1.wav,3017.5,3018.0
n1.wav,3018.5,3019.5
n1.wav,3020.5,3021.0
n1.wav,3021.5,3022.5
n1.wav,3023.0,3023.5
n1.wav,3024.0,3025.5
n1.wav,3027.0,3028.0
n1.wav,3031.0,3037.0
n1.wav,3039.5,3040.0
n1.wav,3041.0,3041.5
n1.wav,3042.0,3044.5
n1.wav,3045.0,3047.5
n1.wav,3048.0,3048.5
n1.wav,3049.0,3053.0
n1.wav,3054.0,3055.5
n1.wav,3056.0,3056.5
n1.wav,3057.0,3057.5
n1.wav,3058.5,3059.0
n1.wav,3060.0,3062.0
n1.wav,3062.5,3063.5
n1.wav,3064.0,3064.5
n1.wav,3067.0,3071.0
n1.wav,3071.5,3078.0
n1.wav,3078.5,3079.0
n1.wav,3080.5,3081.0
n1.wav,3081.5,3082.5
n1.wav,3083.5,3088.5
n1.wav,3093.5,3094.0
n1.wav,3095.5,3096.0
n1.wav,3097.5,3098.5
n1.wav,3100.0,3104.0
n1.wav,3104.5,3107.0
n1.wav,3107.5,3109.5
n1.wav,3111.0,3111.5
n1.wav,3112.0,3112.5
n1.wav,3113.5,3115.5
n1.wav,3117.0,3117.5
n1.wav,3118.5,3123.0
n1.wav,3123.5,3125.0
n1.wav,3126.0,3135.5
n1.wav,3136.0,3137.0
n1.wav,3138.0,3138.5
n1.wav,3139.0,3141.5
n1.wav,3142.0,3143.0
n1.wav,3145.0,3146.0
n1.wav,3147.5,3150.0
n1.wav,3151.5,3152.0
n1.wav,3152.5,3153.5
n1.wav,3155.0,3156.0
n1.wav,3159.5,3160.5
n1.wav,3161.0,3162.0
n1.wav,3166.0,3167.0
n1.wav,3167.5,3169.5
n1.wav,3170.0,3170.5
n1.wav,3171.0,3171.5
n1.wav,3172.0,3172.5
n1.wav,3173.0,3175.0
n1.wav,3175.5,3177.0
n1.wav,3178.0,3179.0
n1.wav,3179.5,3181.5
n1.wav,3183.5,3187.5
n1.wav,3188.0,3189.5
n1.wav,3192.0,3192.5
n1.wav,3194.0,3194.5
n1.wav,3197.0,3198.5
n1.wav,3199.0,3201.5
n1.wav,3202.0,3202.5
n1.wav,3203.5,3208.0
n1.wav,3209.0,3209.5
n1.wav,3210.5,3214.0
n1.wav,3216.0,3216.5
n1.wav,3218.5,3219.5
n1.wav,3220.0,3220.5
n1.wav,3221.5,3222.0
n1.wav,3223.5,3227.0
n1.wav,3230.5,3232.5
n1.wav,3233.0,3233.5
n1.wav,3237.0,3238.0
n1.wav,3243.0,3243.5
n1.wav,3249.5,3250.0
n1.wav,3251.0,3252.0
n1.wav,3252.5,3253.0
n1.wav,3255.5,3256.0
n1.wav,3258.0,3259.0
n1.wav,3259.5,3260.5
n1.wav,3262.5,3264.5
n1.wav,3266.0,3267.0
n1.wav,3269.0,3269.5
n1.wav,3270.0,3270.5
n1.wav,3271.5,3272.5
n1.wav,3273.5,3274.0
n1.wav,3275.5,3276.0
n1.wav,3277.0,3278.0
n1.wav,3279.5,3281.0
n1.wav,3281.5,3282.5
n1.wav,3283.0,3283.5
n1.wav,3284.0,3284.5
n1.wav,3285.5,3286.0
n1.wav,3286.5,3287.5
n1.wav,3288.5,3290.0
n1.wav,3290.5,3291.0
n1.wav,3292.0,3304.0
n1.wav,3305.0,3306.5
n1.wav,3307.0,3307.5
n1.wav,3308.0,3310.0
n1.wav,3310.5,3313.5
n1.wav,3314.0,3314.5
n1.wav,3316.5,3317.5
n1.wav,3319.5,3321.5
n1.wav,3322.5,3324.0
n1.wav,3324.5,3325.0
n1.wav,3325.5,3326.5
n1.wav,3327.5,3330.0
n1.wav,3332.0,3333.5
n1.wav,3334.5,3335.0
n1.wav,3336.5,3337.0
n1.wav,3337.5,3339.0
n1.wav,3339.5,3340.5
n1.wav,3341.0,3343.0
n1.wav,3347.0,3354.0
n1.wav,3355.0,3356.5
n1.wav,3357.0,3359.5
n1.wav,3363.0,3366.5
n1.wav,3367.0,3369.5
n1.wav,3370.5,3372.0
n1.wav,3372.5,3373.0
n1.wav,3374.0,3375.5
n1.wav,3376.0,3378.0
n1.wav,3380.0,3380.5
n1.wav,3381.0,3386.0
n1.wav,3387.0,3387.5
n1.wav,3391.5,3392.0
n1.wav,3393.5,3395.5
n1.wav,3396.0,3400.0
n1.wav,3401.5,3404.5
n1.wav,3405.0,3408.5
n1.wav,3409.5,3412.0
n1.wav,3413.0,3413.5
n1.wav,3414.0,3416.0
n1.wav,3416.5,3417.5
n1.wav,3418.0,3418.5
n1.wav,3419.5,3420.0
n1.wav,3420.5,3422.0
n1.wav,3424.0,3424.5
n1.wav,3427.0,3427.5
n1.wav,3428.5,3429.0
n1.wav,3430.0,3433.0
n1.wav,3433.5,3436.0
n1.wav,3436.5,3437.5
n1.wav,3438.0,3439.0
n1.wav,3439.5,3441.5
n1.wav,3442.5,3444.0
n1.wav,3446.0,3447.0
n1.wav,3448.0,3449.0
n1.wav,3450.0,3451.5
n1.wav,3453.0,3453.5
n1.wav,3454.0,3457.5
n1.wav,3461.0,3462.5
n1.wav,3463.0,3465.0
n1.wav,3465.5,3466.0
n1.wav,3468.5,3470.0
n1.wav,3470.5,3471.5
n1.wav,3472.5,3473.5
n1.wav,3474.0,3475.5
n1.wav,3476.5,3478.5
n1.wav,3481.0,3482.5
n1.wav,3484.0,3485.0
n1.wav,3485.5,3486.0
n1.wav,3488.0,3488.5
n1.wav,3490.0,3492.0
n1.wav,3493.0,3495.0
n1.wav,3496.5,3501.0
n1.wav,3501.5,3502.0
n1.wav,3506.0,3506.5
n1.wav,3507.5,3511.0
n1.wav,3511.5,3512.5
n1.wav,3513.0,3515.5
n1.wav,3517.5,3518.0
n1.wav,3519.5,3521.0
n1.wav,3522.5,3525.0
n1.wav,3525.5,3526.0
n1.wav,3526.5,3527.5
n1.wav,3528.0,3528.5
n1.wav,3531.0,3532.5
n1.wav,3535.5,3536.0
n1.wav,3538.5,3540.0
n1.wav,3541.0,3541.5
n1.wav,3542.0,3549.0
n1.wav,3552.5,3553.5
n1.wav,3555.0,3558.0
n1.wav,3559.5,3561.0
n1.wav,3562.0,3565.5
n1.wav,3566.0,3567.5
n1.wav,3568.5,3569.0
n1.wav,3573.0,3573.5
n1.wav,3575.5,3576.0
n1.wav,3578.5,3579.0
n1.wav,3581.5,3582.0
n1.wav,3583.5,3584.0
n1.wav,3586.0,3586.5
n1.wav,3587.5,3588.0
n1.wav,3588.5,3589.0
n1.wav,3591.0,3592.5
n1.wav,3593.0,3593.5
n1.wav,3594.0,3594.5
n1.wav,3595.0,3596.5
n1.wav,3597.5,3598.0
n1.wav,3600.5,3603.0
n1.wav,3604.0,3605.5
a1.wav,4.5,5.0
a1.wav,12.0,12.5
a1.wav,16.0,17.0
a1.wav,21.5,22.5
a1.wav,23.0,23.5
a1.wav,31.5,32.0
a1.wav,43.0,43.5
a1.wav,45.0,45.5
a1.wav,54.0,54.5
a1.wav,57.5,58.0
a1.wav,59.0,59.5
a1.wav,60.0,61.5
a1.wav,62.5,63.0
a1.wav,65.5,66.0
a1.wav,72.5,73.5
a1.wav,76.5,77.0
a1.wav,81.0,82.5
a1.wav,87.5,88.0
a1.wav,91.5,92.0
a1.wav,93.0,93.5
a1.wav,94.0,95.0
a1.wav,99.5,100.0
a1.wav,101.0,101.5
a1.wav,105.5,106.0
a1.wav,110.5,111.0
a1.wav,111.5,112.0
a1.wav,115.5,116.0
a1.wav,119.0,119.5
a1.wav,120.5,121.0
a1.wav,122.5,123.0
a1.wav,146.0,147.0
a1.wav,156.0,156.5
a1.wav,171.5,172.0
a1.wav,174.5,175.0
a1.wav,178.0,178.5
a1.wav,181.5,182.0
a1.wav,185.0,185.5
a1.wav,196.0,196.5
a1.wav,198.0,198.5
a1.wav,199.5,200.0
a1.wav,201.0,202.5
a1.wav,205.5,206.0
a1.wav,209.0,209.5
a1.wav,211.0,211.5
a1.wav,213.0,213.5
a1.wav,216.0,216.5
a1.wav,220.0,221.5
a1.wav,222.0,222.5
a1.wav,230.5,231.5
a1.wav,233.5,234.0
a1.wav,236.0,236.5
a1.wav,237.5,238.0
a1.wav,239.0,239.5
a1.wav,241.5,242.5
a1.wav,246.0,247.0
a1.wav,250.5,251.0
a1.wav,252.0,253.0
a1.wav,254.0,254.5
a1.wav,256.0,260.0
a1.wav,260.5,264.5
a1.wav,266.0,269.0
a1.wav,270.0,292.5
a1.wav,293.0,293.5
a1.wav,294.0,313.0
a1.wav,314.0,314.5
a1.wav,316.5,317.0
a1.wav,318.5,321.5
a1.wav,323.0,323.5
a1.wav,325.0,326.0
a1.wav,326.5,327.5
a1.wav,328.5,329.5
a1.wav,330.5,331.0
a1.wav,331.5,333.0
a1.wav,333.5,335.5
a1.wav,337.5,338.5
a1.wav,339.0,339.5
a1.wav,340.0,340.5
a1.wav,342.0,343.0
a1.wav,348.0,349.0
a1.wav,350.5,351.0
a1.wav,362.0,362.5
a1.wav,363.5,364.0
a1.wav,366.0,367.0
a1.wav,367.5,368.0
a1.wav,368.5,369.0
a1.wav,369.5,370.0
a1.wav,371.5,373.0
a1.wav,373.5,374.0
a1.wav,375.5,376.0
a1.wav,377.5,378.0
a1.wav,380.0,381.5
a1.wav,385.5,386.0
a1.wav,386.5,387.0
a1.wav,396.5,397.0
a1.wav,405.0,405.5
a1.wav,407.0,407.5
a1.wav,410.5,411.0
a1.wav,413.0,415.0
a1.wav,415.5,419.0
a1.wav,419.5,420.0
a1.wav,428.5,429.5
a1.wav,433.5,434.0
a1.wav,441.5,442.5
a1.wav,444.5,445.0
a1.wav,446.5,447.0
a1.wav,448.5,449.0
a1.wav,450.0,450.5
a1.wav,454.5,455.0
a1.wav,458.5,460.0
a1.wav,461.0,461.5
a1.wav,462.5,463.0
a1.wav,465.0,465.5
a1.wav,467.5,469.0
a1.wav,470.0,470.5
a1.wav,472.0,472.5
a1.wav,478.0,479.0
a1.wav,480.0,480.5
